AEA,AEA_NAME,COUNTY,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,Total_PK12,White_Total,Perc_White
13,Green Hills AEA,01,Adair,4978,Orient-Macksburg Comm School District,150,141,94.00
07,Central Rivers AEA,66,Mitchell,4995,Osage Comm School District,1000,924,92.40
15,Great Prairie AEA,62,Mahaska,5013,Oskaloosa Comm School District,2115,1809,85.53
15,Great Prairie AEA,90,Wapello,5049,Ottumwa Comm School District,4990,2602,52.14
11,Heartland AEA,39,Guthrie,5121,Panorama Comm School District,691,653,94.50
05,Prairie Lakes AEA,37,Greene,5139,Paton-Churdan Comm School District,188,172,91.49
11,Heartland AEA,50,Jasper,5160,PCM Comm School District,1130,1056,93.45
15,Great Prairie AEA,51,Jefferson,5163,Pekin Comm School District,641,599,93.45
11,Heartland AEA,63,Marion,5166,Pella Comm School District,2493,2205,88.45
11,Heartland AEA,25,Dallas,5184,Perry Comm School District,1812,742,40.95
09,Mississippi Bend AEA,82,Scott,5250,Pleasant Valley Comm School District,5803,4275,73.67
11,Heartland AEA,63,Marion,5256,Pleasantville Comm School District,779,720,92.43
05,Prairie Lakes AEA,76,Pocahontas,5283,Pocahontas Area Comm School District,739,627,84.84
01,Keystone AEA,03,Allamakee,5310,Postville Comm School District,694,183,26.37
05,Prairie Lakes AEA,94,Webster,5325,Prairie Valley Comm School District,561,523,93.23
13,Green Hills AEA,69,Montgomery,5463,Red Oak Comm School District,1045,917,87.75
12,Northwest AEA,75,Plymouth,5486,Remsen-Union Comm School District,310,274,88.39
01,Keystone AEA,45,Howard,5508,Riceville Comm School District,406,371,91.38
13,Green Hills AEA,78,Pottawattamie,5510,Riverside Comm School District,693,599,86.44
12,Northwest AEA,84,Sioux,5607,Rock Valley Comm School District,976,559,57.28
11,Heartland AEA,85,Story,5643,Roland-Story Comm School District,1125,1015,90.22
07,Central Rivers AEA,34,Floyd,5697,Rudd-Rockford-Marble Rk Comm School District,422,388,91.94
05,Prairie Lakes AEA,74,Palo Alto,5724,Ruthven-Ayrshire Comm School District,164,145,88.42
07,Central Rivers AEA,66,Mitchell,5751,St Ansgar Comm School District,608,568,93.42
11,Heartland AEA,77,Polk,5805,Saydel Comm School District,1337,972,72.70
05,Prairie Lakes AEA,81,Sac,5823,Schaller-Crestland Comm School District,353,262,74.22
